city,state_id,lat,lng,zips
San Luis Obispo,CA,35.2669,-120.669,93401 93405 93403 93406
North Highlands,CA,38.6713,-121.3721,95660 95841
Brea,CA,33.9254,-117.8655,92821 92823 92822
Rancho Santa Margarita,CA,33.6318,-117.5988,92679 92688
Newark,CA,37.5201,-122.0307,94560
La Mirada,CA,33.9025,-118.0093,90638 90639 90637
Rowland Heights,CA,33.9716,-117.8912,91748 91789
Los Banos,CA,37.063,-120.8406,93635
Morgan Hill,CA,37.1325,-121.6419,95037
Palm Springs,CA,33.8017,-116.5382,92262 92264 92258 92282 92263
Rohnert Park,CA,38.3479,-122.6965,94928 94927
Oakley,CA,37.9929,-121.6952,94561
El Centro,CA,32.7865,-115.5595,92243 92244
Lompoc,CA,34.6618,-120.4714,93436 93438
Danville,CA,37.8121,-121.9698,94506 94526
Hollister,CA,36.8555,-121.3986,95023 95024
Campbell,CA,37.2802,-121.9539,95008 95009 95011
Vineyard,CA,38.474,-121.324,95830 95829 95828
San Bruno,CA,37.6256,-122.4313,94066
Coachella,CA,33.6905,-116.143,92236
French Valley,CA,33.5999,-117.1069,92563 92596
Altadena,CA,34.1927,-118.1346,91104 91001 91003
Rancho Palos Verdes,CA,33.7554,-118.3634,90275
Culver City,CA,34.0058,-118.3968,90232 90230 90231
San Gabriel,CA,34.0949,-118.099,91775 91776 91778
Bell Gardens,CA,33.9663,-118.155,90201 90202 90205
Stanton,CA,33.8003,-117.9935,92804 90680
Calexico,CA,32.6849,-115.4944,92231 92232
La Quinta,CA,33.6536,-116.2785,92253 92202 92247 92248
Adelanto,CA,34.5814,-117.4397,92301
Montclair,CA,34.0715,-117.6981,91763
Monrovia,CA,34.165,-117.9921,91016 91017 91185
Pacifica,CA,37.6113,-122.4782,94044
La Puente,CA,34.0323,-117.9533,91746 91744 91747 91749
Foothill Farms,CA,38.6867,-121.3475,95842 95841
Wildomar,CA,33.6173,-117.2582,92595
Martinez,CA,37.9985,-122.1161,94553
La Presa,CA,32.711,-117.0027,91977
Claremont,CA,34.1259,-117.7153,91711
Moorpark,CA,34.2861,-118.8768,93021 93020
Temple City,CA,34.1022,-118.0579,91780
Orangevale,CA,38.6881,-121.2209,95662
West Hollywood,CA,34.0883,-118.3719,90069 90046 90048
San Juan Capistrano,CA,33.5008,-117.6544,92675 92693
